NameRov: Proteus0
Time: 2021-06-10-16-34-40-875306
{'time': '2021-06-10 16:35:05.280512', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-10 16:35:05.280512', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-10 16:35:05.280512', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-10 16:35:05.781461', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-10 16:35:05.781461', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-10 16:35:05.781461', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-10 16:35:05.781461', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-10 16:35:05.781461', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-10 16:35:06.282209', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-10 16:35:06.282209', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-10 16:35:06.282209', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-10 16:35:06.282209', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-10 16:35:06.282209', 'dept': 0, 'a1': 0, 'a2': 0, 'a3': 0, 'a4': 0, 'a5': 0, 'a6': 0, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-10 16:35:06.783260', 'dept': 0, 'a1': 13248, 'a2': 13184, 'a3': 13136, 'a4': 13056, 'a5': 13008, 'a6': 13056, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-10 16:35:06.783260', 'dept': 0, 'a1': 13248, 'a2': 13184, 'a3': 13136, 'a4': 13056, 'a5': 13008, 'a6': 13056, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-10 16:35:06.783260', 'dept': 0, 'a1': 13248, 'a2': 13184, 'a3': 13136, 'a4': 13056, 'a5': 13008, 'a6': 13056, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-10 16:35:06.783260', 'dept': 0, 'a1': 13248, 'a2': 13184, 'a3': 13136, 'a4': 13056, 'a5': 13008, 'a6': 13056, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-10 16:35:06.783260', 'dept': 0, 'a1': 13248, 'a2': 13184, 'a3': 13136, 'a4': 13056, 'a5': 13008, 'a6': 13056, 'Volt': 0, 'error': None, 'danger-error': False, 'x': 0, 'y': 0, 'z': 0}
{'time': '2021-06-10 16:35:07.284401', 'dept': 0, 'a1': 13248, 'a2': 13200, 'a3': 13136, 'a4': 13104, 'a5': 13040, 'a6': 13056, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.5339069702148437, 'y': 0.0430956298828125, 'z': 9.564835632324218, 'temp': 43.071176470588235}
{'time': '2021-06-10 16:35:07.284401', 'dept': 0, 'a1': 13248, 'a2': 13200, 'a3': 13136, 'a4': 13104, 'a5': 13040, 'a6': 13056, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.5339069702148437, 'y': 0.0430956298828125, 'z': 9.564835632324218, 'temp': 43.071176470588235}
{'time': '2021-06-10 16:35:07.284401', 'dept': 0, 'a1': 13248, 'a2': 13200, 'a3': 13136, 'a4': 13104, 'a5': 13040, 'a6': 13056, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.5339069702148437, 'y': 0.0430956298828125, 'z': 9.564835632324218, 'temp': 43.071176470588235}
{'time': '2021-06-10 16:35:07.284401', 'dept': 0, 'a1': 13248, 'a2': 13200, 'a3': 13136, 'a4': 13104, 'a5': 13040, 'a6': 13056, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.5339069702148437, 'y': 0.0430956298828125, 'z': 9.564835632324218, 'temp': 43.071176470588235}
{'time': '2021-06-10 16:35:07.284401', 'dept': 0, 'a1': 13248, 'a2': 13200, 'a3': 13136, 'a4': 13104, 'a5': 13040, 'a6': 13056, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.5339069702148437, 'y': 0.0430956298828125, 'z': 9.564835632324218, 'temp': 43.071176470588235}
{'time': '2021-06-10 16:35:07.786005', 'dept': 0, 'a1': 13248, 'a2': 13200, 'a3': 13136, 'a4': 13104, 'a5': 13072, 'a6': 13056, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.8212111694335937, 'y': 0.11731588134765625, 'z': 9.64623848876953, 'temp': 42.97705882352941}
{'time': '2021-06-10 16:35:07.786005', 'dept': 0, 'a1': 13248, 'a2': 13200, 'a3': 13136, 'a4': 13104, 'a5': 13072, 'a6': 13056, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.8212111694335937, 'y': 0.11731588134765625, 'z': 9.64623848876953, 'temp': 42.97705882352941}
{'time': '2021-06-10 16:35:07.786005', 'dept': 0, 'a1': 13248, 'a2': 13200, 'a3': 13136, 'a4': 13104, 'a5': 13072, 'a6': 13056, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.8212111694335937, 'y': 0.11731588134765625, 'z': 9.64623848876953, 'temp': 42.97705882352941}
{'time': '2021-06-10 16:35:07.786005', 'dept': 0, 'a1': 13248, 'a2': 13200, 'a3': 13136, 'a4': 13104, 'a5': 13072, 'a6': 13056, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.8212111694335937, 'y': 0.11731588134765625, 'z': 9.64623848876953, 'temp': 42.97705882352941}
{'time': '2021-06-10 16:35:07.786005', 'dept': 0, 'a1': 13248, 'a2': 13200, 'a3': 13136, 'a4': 13104, 'a5': 13072, 'a6': 13056, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.8212111694335937, 'y': 0.11731588134765625, 'z': 9.64623848876953, 'temp': 42.97705882352941}
{'time': '2021-06-10 16:35:07.786005', 'dept': 0, 'a1': 13248, 'a2': 13200, 'a3': 13136, 'a4': 13104, 'a5': 13072, 'a6': 13056, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.8212111694335937, 'y': 0.11731588134765625, 'z': 9.64623848876953, 'temp': 42.97705882352941}
{'time': '2021-06-10 16:35:07.786005', 'dept': 0, 'a1': 13248, 'a2': 13200, 'a3': 13136, 'a4': 13104, 'a5': 13072, 'a6': 13056, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.8212111694335937, 'y': 0.11731588134765625, 'z': 9.64623848876953, 'temp': 42.97705882352941}
{'time': '2021-06-10 16:35:07.786005', 'dept': 0, 'a1': 13248, 'a2': 13200, 'a3': 13136, 'a4': 13104, 'a5': 13072, 'a6': 13056, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.8212111694335937, 'y': 0.11731588134765625, 'z': 9.64623848876953, 'temp': 42.97705882352941}
{'time': '2021-06-10 16:35:07.786005', 'dept': 0, 'a1': 13248, 'a2': 13200, 'a3': 13136, 'a4': 13104, 'a5': 13072, 'a6': 13056, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.8212111694335937, 'y': 0.11731588134765625, 'z': 9.64623848876953, 'temp': 42.97705882352941}
{'time': '2021-06-10 16:35:07.786005', 'dept': 0, 'a1': 13248, 'a2': 13200, 'a3': 13136, 'a4': 13104, 'a5': 13072, 'a6': 13056, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.8212111694335937, 'y': 0.11731588134765625, 'z': 9.64623848876953, 'temp': 42.97705882352941}
{'time': '2021-06-10 16:35:07.786005', 'dept': 0, 'a1': 13248, 'a2': 13200, 'a3': 13136, 'a4': 13104, 'a5': 13072, 'a6': 13056, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.8212111694335937, 'y': 0.11731588134765625, 'z': 9.64623848876953, 'temp': 42.97705882352941}
{'time': '2021-06-10 16:35:07.786005', 'dept': 0, 'a1': 13248, 'a2': 13200, 'a3': 13136, 'a4': 13104, 'a5': 13072, 'a6': 13056, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.8212111694335937, 'y': 0.11731588134765625, 'z': 9.64623848876953, 'temp': 42.97705882352941}
{'time': '2021-06-10 16:35:07.786005', 'dept': 0, 'a1': 13248, 'a2': 13200, 'a3': 13136, 'a4': 13104, 'a5': 13072, 'a6': 13056, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.8212111694335937, 'y': 0.11731588134765625, 'z': 9.64623848876953, 'temp': 42.97705882352941}
{'time': '2021-06-10 16:35:07.786005', 'dept': 0, 'a1': 13248, 'a2': 13200, 'a3': 13136, 'a4': 13104, 'a5': 13072, 'a6': 13056, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.8212111694335937, 'y': 0.11731588134765625, 'z': 9.64623848876953, 'temp': 42.97705882352941}
{'time': '2021-06-10 16:35:07.786005', 'dept': 0, 'a1': 13248, 'a2': 13200, 'a3': 13136, 'a4': 13104, 'a5': 13072, 'a6': 13056, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.8212111694335937, 'y': 0.11731588134765625, 'z': 9.64623848876953, 'temp': 42.97705882352941}
{'time': '2021-06-10 16:35:07.786005', 'dept': 0, 'a1': 13248, 'a2': 13200, 'a3': 13136, 'a4': 13104, 'a5': 13072, 'a6': 13056, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.8212111694335937, 'y': 0.11731588134765625, 'z': 9.64623848876953, 'temp': 42.97705882352941}
{'time': '2021-06-10 16:35:07.786005', 'dept': 0, 'a1': 13248, 'a2': 13200, 'a3': 13136, 'a4': 13104, 'a5': 13072, 'a6': 13056, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.8212111694335937, 'y': 0.11731588134765625, 'z': 9.64623848876953, 'temp': 42.97705882352941}
