NameRov: Proteus0
Time: 2021-06-10-16-49-29-627580
{'time': '2021-06-10 16:49:58.498414', 'dept': 0, 'a1': 13248, 'a2': 13200, 'a3': 13136, 'a4': 13152, 'a5': 13120, 'a6': 13056, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.6727706665039062, 'y': 0.17238251953125, 'z': 10.168174450683592, 'temp': 44.43588235294118}
{'time': '2021-06-10 16:49:58.498414', 'dept': 0, 'a1': 13248, 'a2': 13200, 'a3': 13136, 'a4': 13152, 'a5': 13120, 'a6': 13056, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.6727706665039062, 'y': 0.17238251953125, 'z': 10.168174450683592, 'temp': 44.43588235294118}
{'time': '2021-06-10 16:49:58.498414', 'dept': 0, 'a1': 13248, 'a2': 13200, 'a3': 13136, 'a4': 13152, 'a5': 13120, 'a6': 13056, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.6727706665039062, 'y': 0.17238251953125, 'z': 10.168174450683592, 'temp': 44.43588235294118}
{'time': '2021-06-10 16:49:58.999581', 'dept': 0, 'a1': 13264, 'a2': 13200, 'a3': 13136, 'a4': 13152, 'a5': 13120, 'a6': 13024, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.8068459594726562, 'y': 0.29448680419921874, 'z': 10.27830772705078, 'temp': 44.388823529411766}
{'time': '2021-06-10 16:49:58.999581', 'dept': 0, 'a1': 13264, 'a2': 13200, 'a3': 13136, 'a4': 13152, 'a5': 13120, 'a6': 13024, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.8068459594726562, 'y': 0.29448680419921874, 'z': 10.27830772705078, 'temp': 44.388823529411766}
{'time': '2021-06-10 16:49:58.999581', 'dept': 0, 'a1': 13264, 'a2': 13200, 'a3': 13136, 'a4': 13152, 'a5': 13120, 'a6': 13024, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.8068459594726562, 'y': 0.29448680419921874, 'z': 10.27830772705078, 'temp': 44.388823529411766}
{'time': '2021-06-10 16:49:58.999581', 'dept': 0, 'a1': 13264, 'a2': 13200, 'a3': 13136, 'a4': 13152, 'a5': 13120, 'a6': 13024, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.8068459594726562, 'y': 0.29448680419921874, 'z': 10.27830772705078, 'temp': 44.388823529411766}
{'time': '2021-06-10 16:49:58.999581', 'dept': 0, 'a1': 13264, 'a2': 13200, 'a3': 13136, 'a4': 13152, 'a5': 13120, 'a6': 13024, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.8068459594726562, 'y': 0.29448680419921874, 'z': 10.27830772705078, 'temp': 44.388823529411766}
{'time': '2021-06-10 16:49:59.501639', 'dept': 0, 'a1': 13248, 'a2': 13200, 'a3': 13136, 'a4': 13152, 'a5': 13120, 'a6': 13040, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.7398083129882812, 'y': 0.13168109130859373, 'z': 10.290278735351562, 'temp': 44.388823529411766}
{'time': '2021-06-10 16:49:59.501639', 'dept': 0, 'a1': 13248, 'a2': 13200, 'a3': 13136, 'a4': 13152, 'a5': 13120, 'a6': 13040, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.7398083129882812, 'y': 0.13168109130859373, 'z': 10.290278735351562, 'temp': 44.388823529411766}
{'time': '2021-06-10 16:49:59.501639', 'dept': 0, 'a1': 13248, 'a2': 13200, 'a3': 13136, 'a4': 13152, 'a5': 13120, 'a6': 13040, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.7398083129882812, 'y': 0.13168109130859373, 'z': 10.290278735351562, 'temp': 44.388823529411766}
{'time': '2021-06-10 16:49:59.501639', 'dept': 0, 'a1': 13248, 'a2': 13200, 'a3': 13136, 'a4': 13152, 'a5': 13120, 'a6': 13040, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.7398083129882812, 'y': 0.13168109130859373, 'z': 10.290278735351562, 'temp': 44.388823529411766}
{'time': '2021-06-10 16:49:59.501639', 'dept': 0, 'a1': 13248, 'a2': 13200, 'a3': 13136, 'a4': 13152, 'a5': 13120, 'a6': 13040, 'Volt': 0, 'error': None, 'danger-error': False, 'x': -0.7398083129882812, 'y': 0.13168109130859373, 'z': 10.290278735351562, 'temp': 44.388823529411766}
